firstName,lastName,company,title,biography,facebookUrl,twitterUrl,linkedInUrl,profileImageUri,links
REBECCA,COOLEY,AOS Interior Environments,VP of Manufactured Interior Construction,"Rebecca Cooley brings over 13 years of industry experience to her role as the Vice President of Manufactured Construction Division for AOS. In this role, Rebecca is disrupting the construction industry, using 21st-century technology to bridge the gap between design and construction. She is a passionate advocate of clean, sustainable, and rapid construction and collaborates with architects, interior designers, contractors and facility managers. Rebecca joined the DIRTT network in 2010 as a DIRTT Champion for the North Florida area.

Prior to DIRTT, Rebecca earned a Bachelor Degree of Interior Design from Louisiana State University and immediately moved to London to work for a retail giant in their Store Development Department. She has been a licensed Interior Designer in Texas, Florida, and Louisiana and worked for multiple architecture and design firms with projects ranging from public institutional facilities up to 430,000 square feet to luxury multi-family housing to corporate facilities. She transitioned from Designer to a Business Development role for DIRTT over seven years ago and leads AOS’ Interior Construction Team in Louisiana and Mississippi.",,,https://www.linkedin.com/company/3837938/admin/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/eae3d7faaaa0441994236ef9dbefb7e2.jpg,WEBSITE - https://thinkaos.com/
SEAMUS,MCGUIRE,CICADA,Partner,"Seamus McGuire, CICADA’s marketing and business development lead and a founding partner, provides expertise in project management and large scale project documentation and coordination. With an eye always on the bigger picture, his comprehensive experience and technical knowledge help him lead a team from feasibility and schematic design to production of construction drawings and construction observation. 

Seamus draws from his industry and construction knowledge to guide a skilled professional staff in delivering the highest level of complete, coordinated, code compliant projects that exceed client goals. His ability to effortlessly communicate across teams and coordinate large-scale projects ensures a seamless transition from day one until project completion. At CICADA, Seamus has most notably worked with the MCC Group, specifically on the Jung Hotel Spa, Bar, and Deli, and the Rubensteins Hotel—projects which demonstrate his context-sensitive aesthetic vision and client-centered design approach.

Seamus is a New Orleans native licensed within the state of Louisiana who, having also practiced in Denver and Baton Rouge, is passionate about his hometown and continually inspired by its possibilities. He received his Bachelor of Architecture from Louisiana State University and, while earning his Master of Architecture from the University of Kansas, was selected to be a part of the renowned Studio 804 program. A board member of the Historic District Landmarks Commission (HDLC) and co-host of The Swarm podcast, Seamus believes the future of architecture is rooted in emerging technologies and aims to establish CICADA’s invaluable position both within the New Orleans community and throughout the US via its unmistakable versatility, engagement, and approachability.",,https://twitter.com/____cicada,https://www.linkedin.com/in/seamusrmcguire/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/ebb2be3befeb43c085859646ef56ccf4.jpg,WEBSITE - https://cicada.xyz/
MARIANNE,VAN METER,Legacy Capital LLC,Founder and Managing Partner,"she/her/hers

Marianne co-leads Legacy Capital’s team and is actively involved in providing financial advisory services to closely-held companies in various industries and in representing buyers and sellers in mergers and acquisitions.
 
Marianne is a Managing Partner of Legacy Capital, which she founded in 1994 when she noticed an under-served market for investment banking and financial advisory services to closely-held lower middle-market companies.  Marianne has successfully worked with entrepreneurs across a range of industries, geographic footprints, company types, and stages, including medical products, telecommunications, manufacturing, transportation logistics, distribution, maritime, healthcare services, and oil & gas services.  She has closed over 100 transactions with an aggregate value of over $1.5 billion. Prior to founding Legacy Capital, Marianne began her investment banking career as an Associate in Mergers and Acquisitions with Morgan Stanley & Co., Incorporated in New York. She is a Registered Representative and a Registered Principal with FINRA.

Marianne graduated Phi Beta Kappa from the University of Iowa, earning a B.S. with Honors in Economics. She received Mortar Board, Omicron Delta Kappa and Omicron Delta Epsilon honors. She earned her MBA from the Darden School at the University of Virginia.

She is an Entrepreneur in Residence for Tulane University’s Albert Lepage Center for Entrepreneurship and Innovation and is also on the Board of Directors for The Idea Village. In her free time, she enjoys golf, hiking, water sports, and traveling with her children and grandchildren.",,,https://www.linkedin.com/in/marianne-van-meter-a411021a/?lipi=urn%3Ali%3Apage%3Ad_flagship3_feed%3BNgBCZ8vsTn2wLVJoNY%2FADQ%3D%3D,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/23e63810c7fa4b41a6f75eef02a41aee.gif,WEBSITE - https://legacycapital.com/
MARCO,NELSON,RentCheck,Co-founder & CEO,"Marco Nelson is the Co-founder and CEO of RentCheck. RentCheck is the property management solution that helps property managers save time on inspections with easy self-guided inspections that residents can do from their smartphone. RentCheck standardizes property inspections to help property managers accurately document properties and avoid disputes over security deposits with tenants. Marco attended the United States Naval Academy while earning a BS in Economics, and was a standout football player, holding the NCAA record. After graduation, he went on to serve 7 1/2 years as an Officer in the United States Navy. Over the last 10 years, Marco has bought and renovated multiple rental properties and is a longtime landlord and real estate investor. Marco holds a Masters in Information Technology from the Naval Postgraduate School and a Masters in Business Administration from Tulane University.",,https://twitter.com/rentcheckapp?lang=en,https://www.linkedin.com/in/marco-nelson-67470530/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/6731ab9d4b2f4fad9c172a26db628790.png,WEBSITE - https://getrentcheck.com/
MICHAEL,GLENBOSKI,Domain Companies,Development Manager,"Michael Glenboski is an Architect living in New Orleans, Louisiana.  He is currently the Development Manager at Domain Companies overseeing the design, development, and construction of an array of project types in New Orleans, New York City, and Salt Lake City.  Outside of his work with Domain he is board chair and helps run New Orleans Airlift, an artist-driven initiative whose mission is to collaborate to inspire wonder, connect communities and foster opportunities through arts education and the creation of experimental public artworks.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/57bd7f4a9c454bc48160c54b04f16b27.jpg,WEBSITE - https://thedomaincos.com/
BYRON,BRADLEY,2Brothers1Love,Chef,"Byron Bradley was born in Monroe, Louisiana, and was raised in New Orleans surrounded by Creole and Caribbean cultures within his family. Hurricane Katrina came and after high school, Byron chose to join the military over possibly becoming a statistic. During these years he was able to learn what his true passions were; he figured the best interests to base career choices from should be your core interests and passions. He has always loved art in many forms, for example, Byron would collect my mother's Victoria Secret books and draw the models. When it comes to food, he has always loved experimental cooking and plate presentation. With these examples, Byron constructed a full-scale plan for his career choices – leaving the military was the start. The plan is to establish himself as a chef and artist.",https://www.facebook.com/2Brothers1Love,https://twitter.com/beachbumholla,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/9955160e519542658e85f6636bcd597b.jpg,INSTAGRAM - https://www.instagram.com/2brothers1love/ ; WEBSITE - https://2brothers1love.com/
LAUREN,DARNELL,"Made In New Orleans Foundation, Inc.",Executive Director,"she/her/hers

Lauren Darnell is the Executive Director of Made in New Orleans Foundation. Since 2018 she has been envisioning a transformative vision of the future of the Hospitality Industry.  Lauren holds a Bachelor of Arts in Anthropology and Women’s Studies from University of New Orleans. Lauren has over 10 years experience in nonprofit sector, strategic planning, developing impactful partnerships and creating results-driven programming. In 2012, she returned home to New Orleans via London and NY to launch her own non-profit that delivered over 5,000 hours of trauma-sensitive yoga to over 10 schools locally. Lauren’s leadership is rooted in bringing people together for a common purpose and meeting people where they are. She is committed to facilitating conversations about growth and freedom. 

She has trained with the Concorde Institute in the UK and currently assists in training and programming with The Space Body Mind Consulting in Como, Italy. When not working on developing the MiNO Foundation, she can be found hosting Love to Eat Nola and spending time with her young son Tenzin.",,https://twitter.com/minofoundation,https://www.linkedin.com/in/laurendarnell/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/acd9b3b1d1024bafb34547c5539e2146.jpg,WEBSITE - https://minofoundation.org/
WESLEY (WES),PALMISANO,"Palmisano, LLC (Palmisano Construction)",Founder and Floor Sweeper,"In 2013, Wesley (Wes) J. Palmisano founded Palmisano, LLC with the vision to create a new kind of construction company — one designed to foster the next generation of leaders. Wesley’s vision has made Palmisano the Southeast’s newest leader in construction.

Wes evolved Palmisano, LLC into a collection of brands focused on innovation in construction and in supporting the overall mission to Build a Better World. The strategy to support Palmisano, LLC’s mission will take on many forms, building and growing through acquisitions, investments and innovations. Although Palmisano companies may span across many different customer types and categories, they are all tied together through a singular mission, culture and leadership development.

Through a variety of service projects, Palmisano aims to be a force for social innovation, to solve problems, and to transform lives. These projects include the firm’s Annual “Renegade Fest,” a partnership with Junior Achievement’s Biz Town.",,,https://www.linkedin.com/in/wesley-j-palmisano-317681a/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/5bcadc0a043c40f5a672b1aacfb5b2ec.jpg,WEBSITE - https://palmisanollc.com/
JOHN,FRABONI,Operation Spark,Founder & CEO,"John Fraboni started Operation Spark in 2013, with the goal of helping people with upward mobility by presenting the fastest route to a career in software development.  Over 200 students have graduated into high wage software employment, and thousands of high schoolers across Louisiana have participated in Operation Spark's programs.

Fraboni worked in the software industry for many years, and prior to founding Operation Spark, he worked as a video game developer in Montreal.  He holds a Master of Jazz Performance degree from Manhattan School of Music, toured internationally, and is the recipient of numerous awards in the world of music performance, most notably a Juno Award - the Canadian equivalent of a Grammy.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/eb6a262b0b3f439392fa021a0dd946a7.jpg,WEBSITE - https://operationspark.org/
SHERIN,DAWUD,"Power Pump Girls, Inc.",Co-founder,"she/her/hers

A journey that began with a pair of suede fuchsia pumps, Sherin Dawud and Raina Vallot founded Power Pump Girls, Inc. in 2017 with the belief that women are better together. They set out to create intentional gatherings for women to build relationships that ultimately impacted culture. From hosting social brunches to advocating for women’s rights legislation, the organization’s resume is as diverse and unconventional as its founders. As the Power Pump Girls sisterhood grew, Sherin and Raina began taking on speaking engagements and hosting opportunities to discuss topics of authenticity, community building, brand strategy and more. Now considered thought leaders and social impact engineers, Sherin and Raina continue to challenge the status quo and empower others along the way.",https://www.facebook.com/powerpumpgirlsinc,https://twitter.com/powerpumpgirls,https://www.linkedin.com/in/sherin-dawud-she-her-131a3bb9/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/37642251458048c3b6c1441f8f822993.jpg,WEBSITE - www.powerpumpgirls.org
